Date,Rain,max_temp,min_temp
2015-07-01,1,82,69
2015-07-02,0,80,69
2015-07-03,0,82,66
2015-07-04,1,75,69
2015-07-05,0,83,68
2015-07-06,0,83,72
2015-07-07,1,88,85
2015-07-08,1,88,77
2015-07-09,1,79,68
2015-07-10,0,84,72
2015-07-11,0,88,69
2015-07-12,0,89,72
2015-07-13,0,88,73
2015-07-14,1,82,73
2015-07-15,1,81,72
2015-07-16,0,80,64
2015-07-17,0,81,67
2015-07-18,1,85,71
2015-07-19,0,93,78
2015-07-20,0,94,82
2015-07-21,0,89,74
2015-07-22,0,85,69
2015-07-23,0,86,68
2015-07-24,0,87,70
2015-07-25,0,88,69
2015-07-26,1,90,74
2015-07-27,1,86,71
2015-07-28,0,95,75
2015-07-29,0,96,78
2015-07-30,1,87,76
2015-07-31,0,89,72
